"","Date","Day_of_the_Week","Subtotal","Order_Total","Tip","Tip_Percentage","Payment_Type"
"80","03_21_21","Sunday",17.6225,23.25,4,20.7792207792208,"Acct"
"81","03_21_21","Sunday",28.7201,36.57,5.29,16.9117647058824,"CC"
"82","03_21_21","Sunday",25.3787,31.59,4,14.4980065241029,"CC"
"83","03_21_21","Sunday",16.1586,21.02,3.39,19.2285876347136,"Acct"
"84","03_21_21","Sunday",39.2016,48.12,5.55,13.0373502466526,"CC"
"85","03_21_21","Sunday",40.1862,49.34,5.7,13.0614115490376,"CC"
"86","03_21_21","Sunday",58.3978,74.46,10.85,17.0570664989781,"Acct"
"87","03_25_21","Thursday",70.2438,88.66,12.21,15.9712230215827,"Acct"
"88","03_25_21","Thursday",31.8128,38.96,4.42,12.7967573827446,"CC"
"89","03_25_21","Thursday",25.2485,31.45,4,14.5719489981785,"Acct"
"90","03_25_21","Thursday",35.8128,44.96,6,15.4004106776181,"Acct"
"91","03_25_21","Thursday",59.1283,74.31,9.98,15.5137571894917,"Acct"
"92","03_25_21","Thursday",35.2318,43.26,5,13.0684788290643,"CC"
"93","03_25_21","Thursday",60.1446,75.22,9.81,14.9977067726647,"Acct"
"94","03_26_21","Friday",17.5973,23.61,4.36,22.6493506493506,"Acct"
"95","03_26_21","Friday",51.752,66.4,10,17.7304964539007,"CC"
"96","03_26_21","Friday",34.3554,43.78,6.36,16.9962586851951,"Acct"
"97","03_26_21","Friday",14.1567,19.19,3.69,23.8064516129032,"Acct"
"98","03_26_21","Friday",25.6125,31.25,3.45,12.410071942446,"CC"
"99","03_26_21","Friday",18.5698,24.86,4.55,22.4027572624323,"Acct"
"100","03_26_21","Friday",21.5654,27.78,4.27,18.1624840493407,"Acct"
"101","03_26_21","Friday",58.542,69.4,6,9.46372239747634,"CC"
"102","03_26_21","Friday",61.3322,75.54,8.92,13.3893725607926,"CC"
"103","03_26_21","Friday",41.0663,54.91,10,22.2667557336896,"Acct"
"104","03_26_21","Friday",36.2478,44.46,5.1,12.9573170731707,"CC"
"105","03_26_21","Friday",11.5819,17.83,5,38.971161340608,"Acct"
"106","03_26_21","Friday",44.476,53.2,5,10.3734439834025,"CC"
"107","03_26_21","Friday",24.6489,29.73,3,11.2233445566779,"Acct"
"108","03_27_21","Saturday",18.5343,22.51,2.4,11.9343610144207,"CC"
"109","03_27_21","Saturday",25.9416,31.12,3,10.6685633001422,"CC"
"110","03_27_21","Saturday",21.4076,27.32,4,17.1526586620926,"CC"
"111","03_27_21","Saturday",27.7943,37.51,7.09,23.3070348454964,"Acct"
"112","03_27_21","Saturday",47.4466,59.62,8,15.4978690430066,"CC"
"113","03_27_21","Saturday",17.8506,22.42,3,15.4479917610711,"Acct"
"114","03_27_21","Saturday",41.6807,55.99,10.39,22.7850877192982,"Acct"
"115","03_27_21","Saturday",66.2819,86.83,14.47,19.9972360420122,"Acct"
"116","03_27_21","Saturday",20.4484,24.88,2.69,12.1225777377197,"CC"
"117","03_27_21","Saturday",86.9046,107.22,12.81,13.5684779154751,"CC"
"118","03_27_21","Saturday",25.2994,32.58,5,18.1290790427846,"CC"
"119","03_27_21","Saturday",81.8096,98.72,10,11.2714156898106,"Acct"
"120","03_27_21","Saturday",22.9402,31.14,6.02,23.9649681528662,"Acct"
"121","03_27_21","Saturday",16.1586,21.02,3.39,19.2285876347136,"Acct"
"122","03_27_21","Saturday",14.1607,18.99,3.5,22.5952227243383,"Acct"
"123","03_27_21","Saturday",29.8009,40.13,7.52,23.0604109168967,"Acct"
"124","03_27_21","Saturday",35.8138,40.66,2,5.17330574236937,"Acct"
"125","03_27_21","Saturday",12.7196,16.72,2.83,20.374370050396,"Acct"
"126","03_28_21","Sunday",10.7268,14.76,3,25.5102040816327,"Acct"
"127","03_28_21","Sunday",47.8197,61.29,9.18,17.6165803108808,"CC"
"128","03_28_21","Sunday",26.2245,34.65,6,20.9424083769633,"CC"
"129","03_28_21","Sunday",40.1683,49.31,5.69,13.0444750114626,"CC"
"130","03_28_21","Sunday",18.3535,22.95,2.99,14.9799599198397,"Acct"
"131","03_28_21","Sunday",23.9206,32.42,6.23,23.7877052310042,"Acct"
"132","03_28_21","Sunday",49.8269,64.33,10,18.4060371801951,"CC"
"133","03_28_21","Sunday",31.5236,38.52,4.3,12.5657510227937,"Acct"
"134","03_28_21","Sunday",17.4783,25.31,6.06,31.4805194805195,"Acct"
"135","03_28_21","Sunday",33.9564,44.48,7.41,19.9892096034529,"Acct"
"136","03_28_21","Sunday",30.3402,37.14,4.2,12.7504553734062,"CC"
"137","03_28_21","Sunday",26.1153,34.21,5.7,19.9929849175728,"Acct"
"138","03_28_21","Sunday",28.977,36.9,5.34,16.9201520912548,"CC"
"139","03_28_21","Sunday",43.7453,54.21,6.67,14.0302902818679,"CC"
"140","03_28_21","Sunday",44.6817,56.69,8.04,16.5262076053443,"Acct"
"141","03_28_21","Sunday",34.9004,48.28,10,26.123301985371,"CC"
"142","03_28_21","Sunday",20.7153,27.21,4.59,20.2917771883289,"Acct"
"143","03_30_21","Tuesday",55.8661,68.77,8.09,13.3322346736981,"CC"
"144","03_30_21","Tuesday",27.208,34.6,4.97,16.7735403307459,"CC"
"145","03_30_21","Tuesday",60.8907,74.99,8.85,13.3807075899607,"CC"
"146","04_02_21","Friday",40.0252,51.64,8,18.3318056828598,"CC"
"147","04_02_21","Friday",29.2611,37.27,5.4,16.9438343269532,"CC"
"148","04_02_21","Friday",15.4949,17.93,1.18,7.04477611940298,"Acct"
"149","04_02_21","Friday",17.6225,23.25,4,20.7792207792208,"Acct"
"150","04_02_21","Friday",20.6685,25.45,3,13.3630289532294,"Acct"
"151","04_02_21","Friday",29.2611,37.27,5.4,16.9438343269532,"CC"
"152","04_03_21","Saturday",22.101,29.7,5.52,22.8287841191067,"Acct"
"153","04_03_21","Saturday",10.7611,14.27,2.51,21.343537414966,"Acct"
"154","04_03_21","Saturday",34.246,42.2,5,13.4408602150538,"CC"
"155","04_03_21","Saturday",67.7539,78.23,5,6.82780281305476,"Acct"
"156","04_03_21","Saturday",18.5605,24.85,4.55,22.4137931034483,"Acct"
"157","04_03_21","Saturday",29.782,37.4,5,15.4320987654321,"CC"
"158","04_03_21","Saturday",83.8424,97.68,7,7.71945302161447,"CC"
"159","04_03_21","Saturday",49.8269,64.33,10,18.4060371801951,"CC"
"160","04_03_21","Saturday",59.1256,75.92,11.48,17.8150217256363,"CC"
"161","04_03_21","Saturday",41.0477,54.89,10,22.2766763198931,"Acct"
