Date,Day_of_the_Week,Tip,Order_Total,Payment_Type
03_28_21,Sunday,2.99,22.95,Acct
03_28_21,Sunday,,20.1,Cash
03_28_21,Sunday,6.23,32.42,Acct
03_28_21,Sunday,10,64.33,CC
03_28_21,Sunday,4.3,38.52,Acct
03_28_21,Sunday,6.06,25.31,Acct
03_28_21,Sunday,7.41,44.48,Acct
03_28_21,Sunday,4.2,37.14,CC
03_28_21,Sunday,5.7,34.21,Acct
03_28_21,Sunday,5.34,36.9,CC
03_28_21,Sunday,6.67,54.21,CC
03_28_21,Sunday,8.04,56.69,Acct
03_28_21,Sunday,10,48.28,CC
03_28_21,Sunday,4.59,27.21,Acct
03_30_21,Tuesday,8.09,68.77,CC
03_30_21,Tuesday,4.97,34.6,CC
03_30_21,Tuesday,8.85,74.99,CC
04_02_21,Friday,8,51.64,CC
04_02_21,Friday,5.4,37.27,CC
04_02_21,Friday,,67.15,CC
04_02_21,Friday,1.18,17.93,Acct
04_02_21,Friday,4,23.25,Acct
04_02_21,Friday,3,25.45,Acct
04_02_21,Friday,5.4,37.27,CC
04_03_21,Saturday,5.52,29.7,Acct
04_03_21,Saturday,2.51,14.27,Acct
04_03_21,Saturday,5,42.2,CC
04_03_21,Saturday,5,78.23,Acct
04_03_21,Saturday,4.55,24.85,Acct
04_03_21,Saturday,5,37.4,CC
04_03_21,Saturday,7,97.68,CC
04_03_21,Saturday,,61.29,CC
04_03_21,Saturday,10,64.33,CC
04_03_21,Saturday,11.48,75.92,CC
04_03_21,Saturday,10,54.89,Acct
